#name=循环伏安 100 mV/s (Ag/AgCl(3M KCl))
#scan_rate=0.1 V/s
#potential_unit=V
#current_unit=A
#time_unit=s
#area=0.071 cm2
#reference_electrode=Ag/AgCl(3M KCl)
#tolerance_v=1e-9
potential,current,time
0,1.197000e-5,0
0,1.197000e-5,0.02
0,1.197000e-5,0.04
0,1.197000e-5,0.06
2.000000e-3,1.197020e-5,0.08
4.000000e-3,1.197040e-5,0.1
6.000000e-3,1.197060e-5,0.12
8.000000e-3,1.197080e-5,0.14
0.01,1.197100e-5,0.16
0.012,1.197120e-5,0.18
0.014,1.197140e-5,0.2
0.016,1.197160e-5,0.22
0.018,1.197180e-5,0.24
0.02,1.197200e-5,0.26
0.022,1.197220e-5,0.28
0.024,1.197240e-5,0.3
0.026,1.197260e-5,0.32
0.028,1.197280e-5,0.34
0.03,1.197300e-5,0.36
0.032,1.197320e-5,0.38
0.034,1.197340e-5,0.4
0.036,1.197360e-5,0.42
0.038,1.197380e-5,0.44
0.04,1.197400e-5,0.46
0.042,1.197420e-5,0.48
0.044,1.197440e-5,0.5
0.046,1.197460e-5,0.52
0.048,1.197480e-5,0.54
0.05,1.197500e-5,0.56
0.052,1.197520e-5,0.58
0.054,1.197540e-5,0.6
0.056,1.197560e-5,0.62
0.058,1.197580e-5,0.64
0.06,1.197600e-5,0.66
0.062,1.197620e-5,0.68
0.064,1.197640e-5,0.7
0.066,1.197660e-5,0.72
0.068,1.197680e-5,0.74
0.07,1.197700e-5,0.76
0.072,1.197720e-5,0.78
0.074,1.197740e-5,0.8
0.076,1.197760e-5,0.82
0.078,1.197780e-5,0.84
0.08,1.197800e-5,0.86
0.082,1.197820e-5,0.88
0.084,1.197840e-5,0.9
0.086,1.197860e-5,0.92
0.088,1.197880e-5,0.94
0.09,1.197900e-5,0.96
0.092,1.197920e-5,0.98
0.094,1.197940e-5,1
0.096,1.197960e-5,1.02
0.098,1.197980e-5,1.04
0.1,1.198000e-5,1.06
0.102,1.198020e-5,1.08
0.104,1.198040e-5,1.1
0.106,1.198060e-5,1.12
0.108,1.198080e-5,1.14
0.11,1.198100e-5,1.16
0.112,1.198120e-5,1.18
0.114,1.198140e-5,1.2
0.116,1.198160e-5,1.22
0.118,1.198180e-5,1.24
0.12,1.198200e-5,1.26
0.122,1.198220e-5,1.28
0.124,1.198240e-5,1.3
0.126,1.198260e-5,1.32
0.128,1.198280e-5,1.34
0.13,1.198300e-5,1.36
0.132,1.198320e-5,1.38
0.134,1.198340e-5,1.4
0.136,1.198360e-5,1.42
0.138,1.198380e-5,1.44
0.14,1.198400e-5,1.46
0.142,1.198420e-5,1.48
0.144,1.198441e-5,1.5
0.146,1.198461e-5,1.52
0.148,1.198481e-5,1.54
0.15,1.198502e-5,1.56
0.152,1.198523e-5,1.58
0.154,1.198544e-5,1.6
0.156,1.198565e-5,1.62
0.158,1.198587e-5,1.64
0.16,1.198609e-5,1.66
0.162,1.198633e-5,1.68
0.164,1.198657e-5,1.7
0.166,1.198683e-5,1.72
0.168,1.198711e-5,1.74
0.17,1.198742e-5,1.76
0.172,1.198776e-5,1.78
0.174,1.198814e-5,1.8
0.176,1.198858e-5,1.82
0.178,1.198908e-5,1.84
0.18,1.198968e-5,1.86
0.182,1.199039e-5,1.88
0.184,1.199123e-5,1.9
0.186,1.199226e-5,1.92
0.188,1.199350e-5,1.94
0.19,1.199502e-5,1.96
0.192,1.199687e-5,1.98
0.194,1.199913e-5,2
0.196,1.200188e-5,2.02
0.198,1.200524e-5,2.04
0.2,1.200933e-5,2.06
0.202,1.201429e-5,2.08
0.204,1.202028e-5,2.1
0.206,1.202750e-5,2.12
0.208,1.203618e-5,2.14
0.21,1.204655e-5,2.16
0.212,1.205889e-5,2.18
0.214,1.207353e-5,2.2
0.216,1.209081e-5,2.22
0.218,1.211110e-5,2.24
0.22,1.213483e-5,2.26
0.222,1.216244e-5,2.28
0.224,1.219441e-5,2.3
0.226,1.223124e-5,2.32
0.228,1.227347e-5,2.34
0.23,1.232164e-5,2.36
0.232,1.237630e-5,2.38
0.234,1.243801e-5,2.4
0.236,1.250730e-5,2.42
0.238,1.258470e-5,2.44
0.24,1.267068e-5,2.46
0.242,1.276568e-5,2.48
0.244,1.287006e-5,2.5
0.246,1.298411e-5,2.52
0.248,1.310799e-5,2.54
0.25,1.324179e-5,2.56
0.252,1.338542e-5,2.58
0.254,1.353868e-5,2.6
0.256,1.370120e-5,2.62
0.258,1.387243e-5,2.64
0.26,1.405165e-5,2.66
0.262,1.423798e-5,2.68
0.264,1.443032e-5,2.7
0.266,1.462741e-5,2.72
0.268,1.482783e-5,2.74
0.27,1.502998e-5,2.76
0.272,1.523215e-5,2.78
0.274,1.543247e-5,2.8
0.276,1.562902e-5,2.82
0.278,1.581979e-5,2.84
0.28,1.600276e-5,2.86
0.282,1.617590e-5,2.88
0.284,1.633723e-5,2.9
0.286,1.648485e-5,2.92
0.288,1.661699e-5,2.94
0.29,1.673203e-5,2.96
0.292,1.682853e-5,2.98
0.294,1.690530e-5,3
0.296,1.696137e-5,3.02
0.298,1.699606e-5,3.04
0.3,1.700897e-5,3.06
0.302,1.699999e-5,3.08
0.304,1.696933e-5,3.1
0.306,1.691749e-5,3.12
0.308,1.684527e-5,3.14
0.31,1.675372e-5,3.16
0.312,1.664417e-5,3.18
0.314,1.651817e-5,3.2
0.316,1.637746e-5,3.22
0.318,1.622396e-5,3.24
0.32,1.605970e-5,3.26
0.322,1.588683e-5,3.28
0.324,1.570753e-5,3.3
0.326,1.552400e-5,3.32
0.328,1.533844e-5,3.34
0.33,1.515296e-5,3.36
0.332,1.496962e-5,3.38
0.334,1.479037e-5,3.4
0.336,1.461699e-5,3.42
0.338,1.445116e-5,3.44
0.34,1.429434e-5,3.46
0.342,1.414786e-5,3.48
0.344,1.401283e-5,3.5
0.346,1.389018e-5,3.52
0.348,1.378066e-5,3.54
0.35,1.368483e-5,3.56
0.352,1.360309e-5,3.58
0.354,1.353564e-5,3.6
0.356,1.348254e-5,3.62
0.358,1.344370e-5,3.64
0.36,1.341889e-5,3.66
0.362,1.340775e-5,3.68
0.364,1.340982e-5,3.7
0.366,1.342452e-5,3.72
0.368,1.345118e-5,3.74
0.37,1.348908e-5,3.76
0.372,1.353737e-5,3.78
0.374,1.359520e-5,3.8
0.376,1.366161e-5,3.82
0.378,1.373564e-5,3.84
0.38,1.381627e-5,3.86
0.382,1.390243e-5,3.88
0.384,1.399306e-5,3.9
0.386,1.408707e-5,3.92
0.388,1.418334e-5,3.94
0.39,1.428077e-5,3.96
0.392,1.437825e-5,3.98
0.394,1.447470e-5,4
0.396,1.456905e-5,4.02
0.398,1.466025e-5,4.04
0.4,1.474730e-5,4.06
0.402,1.482925e-5,4.08
0.404,1.490519e-5,4.1
0.406,1.497430e-5,4.12
0.408,1.503581e-5,4.14
0.41,1.508904e-5,4.16
0.412,1.513339e-5,4.18
0.414,1.516838e-5,4.2
0.416,1.519360e-5,4.22
0.418,1.520876e-5,4.24
0.42,1.521368e-5,4.26
0.422,1.520826e-5,4.28
0.424,1.519255e-5,4.3
0.426,1.516666e-5,4.32
0.428,1.513085e-5,4.34
0.43,1.508544e-5,4.36
0.432,1.503085e-5,4.38
0.434,1.496760e-5,4.4
0.436,1.489628e-5,4.42
0.438,1.481753e-5,4.44
0.44,1.473206e-5,4.46
0.442,1.464063e-5,4.48
0.444,1.454402e-5,4.5
0.446,1.444304e-5,4.52
0.448,1.433850e-5,4.54
0.45,1.423124e-5,4.56
0.452,1.412206e-5,4.58
0.454,1.401175e-5,4.6
0.456,1.390107e-5,4.62
0.458,1.379074e-5,4.64
0.46,1.368144e-5,4.66
0.462,1.357381e-5,4.68
0.464,1.346841e-5,4.7
0.466,1.336575e-5,4.72
0.468,1.326630e-5,4.74
0.47,1.317043e-5,4.76
0.472,1.307848e-5,4.78
0.474,1.299071e-5,4.8
0.476,1.290732e-5,4.82
0.478,1.282846e-5,4.84
0.48,1.275421e-5,4.86
0.482,1.268462e-5,4.88
0.484,1.261969e-5,4.9
0.486,1.255934e-5,4.92
0.488,1.250351e-5,4.94
0.49,1.245207e-5,4.96
0.492,1.240487e-5,4.98
0.494,1.236174e-5,5
0.496,1.232249e-5,5.02
0.498,1.228690e-5,5.04
0.5,1.225478e-5,5.06
0.502,1.222590e-5,5.08
0.504,1.220003e-5,5.1
0.506,1.217696e-5,5.12
0.508,1.215645e-5,5.14
0.51,1.213831e-5,5.16
0.512,1.212231e-5,5.18
0.514,1.210827e-5,5.2
0.516,1.209599e-5,5.22
0.518,1.208529e-5,5.24
0.52,1.207602e-5,5.26
0.522,1.206800e-5,5.28
0.524,1.206111e-5,5.3
0.526,1.205522e-5,5.32
0.528,1.205019e-5,5.34
0.53,1.204592e-5,5.36
0.532,1.204232e-5,5.38
0.534,1.203930e-5,5.4
0.536,1.203678e-5,5.42
0.538,1.203469e-5,5.44
0.54,1.203297e-5,5.46
0.542,1.203156e-5,5.48
0.544,1.203042e-5,5.5
0.546,1.202951e-5,5.52
0.548,1.202879e-5,5.54
0.55,1.202823e-5,5.56
0.552,1.202781e-5,5.58
0.554,1.202750e-5,5.6
0.556,1.202728e-5,5.62
0.558,1.202715e-5,5.64
0.56,1.202707e-5,5.66
0.562,1.202705e-5,5.68
0.564,1.202708e-5,5.7
0.566,1.202713e-5,5.72
0.568,1.202722e-5,5.74
0.57,1.202733e-5,5.76
0.572,1.202746e-5,5.78
0.574,1.202760e-5,5.8
0.576,1.202776e-5,5.82
0.578,1.202792e-5,5.84
0.58,1.202809e-5,5.86
0.582,1.202827e-5,5.88
0.584,1.202845e-5,5.9
0.586,1.202864e-5,5.92
0.588,1.202883e-5,5.94
0.59,1.202902e-5,5.96
0.592,1.202922e-5,5.98
0.594,1.202941e-5,6
0.596,1.202961e-5,6.02
0.598,1.202981e-5,6.04
0.6,1.203001e-5,6.06
0.6,1.203001e-5,6.08
0.6,1.203001e-5,6.1
0.598,-1.197020e-5,6.12
0.596,-1.197040e-5,6.14
0.594,-1.197060e-5,6.16
0.592,-1.197080e-5,6.18
0.59,-1.197100e-5,6.2
0.588,-1.197120e-5,6.22
0.586,-1.197140e-5,6.24
0.584,-1.197160e-5,6.26
0.582,-1.197180e-5,6.28
0.58,-1.197200e-5,6.3
0.578,-1.197220e-5,6.32
0.576,-1.197240e-5,6.34
0.574,-1.197260e-5,6.36
0.572,-1.197280e-5,6.38
0.57,-1.197300e-5,6.4
0.568,-1.197320e-5,6.42
0.566,-1.197340e-5,6.44
