#name=循环伏安 200 mV/s (Ag/AgCl(3M KCl))
#scan_rate=0.2 V/s
#potential_unit=V
#current_unit=A
#time_unit=s
#area=0.071 cm2
#reference_electrode=Ag/AgCl(3M KCl)
#tolerance_v=1e-9
potential,current,time
0,2.397000e-5,0
0,2.397000e-5,0.02
0,2.397000e-5,0.04
0,2.397000e-5,0.06
4.000000e-3,2.397040e-5,0.08
8.000000e-3,2.397080e-5,0.1
0.012,2.397120e-5,0.12
0.016,2.397160e-5,0.14
0.02,2.397200e-5,0.16
0.024,2.397240e-5,0.18
0.028,2.397280e-5,0.2
0.032,2.397320e-5,0.22
0.036,2.397360e-5,0.24
0.04,2.397400e-5,0.26
0.044,2.397440e-5,0.28
0.048,2.397480e-5,0.3
0.052,2.397520e-5,0.32
0.056,2.397560e-5,0.34
0.06,2.397600e-5,0.36
0.064,2.397640e-5,0.38
0.068,2.397680e-5,0.4
0.072,2.397720e-5,0.42
0.076,2.397760e-5,0.44
0.08,2.397800e-5,0.46
0.084,2.397840e-5,0.48
0.088,2.397880e-5,0.5
0.092,2.397920e-5,0.52
0.096,2.397960e-5,0.54
0.1,2.398000e-5,0.56
0.104,2.398040e-5,0.58
0.108,2.398080e-5,0.6
0.112,2.398120e-5,0.62
0.116,2.398160e-5,0.64
0.12,2.398200e-5,0.66
0.124,2.398240e-5,0.68
0.128,2.398280e-5,0.7
0.132,2.398320e-5,0.72
0.136,2.398360e-5,0.74
0.14,2.398400e-5,0.76
0.144,2.398441e-5,0.78
0.148,2.398482e-5,0.8
0.152,2.398524e-5,0.82
0.156,2.398567e-5,0.84
0.16,2.398613e-5,0.86
0.164,2.398664e-5,0.88
0.168,2.398724e-5,0.9
0.172,2.398799e-5,0.92
0.176,2.398898e-5,0.94
0.18,2.399037e-5,0.96
0.184,2.399241e-5,0.98
0.188,2.399545e-5,1
0.192,2.400005e-5,1.02
0.196,2.400697e-5,1.04
0.2,2.401734e-5,1.06
0.204,2.403266e-5,1.08
0.208,2.405497e-5,1.1
0.212,2.408693e-5,1.12
0.216,2.413190e-5,1.14
0.22,2.419399e-5,1.16
0.224,2.427808e-5,1.18
0.228,2.438973e-5,1.2
0.232,2.453499e-5,1.22
0.236,2.472008e-5,1.24
0.24,2.495097e-5,1.26
0.244,2.523278e-5,1.28
0.248,2.556909e-5,1.3
0.252,2.596127e-5,1.32
0.256,2.640768e-5,1.34
0.26,2.690313e-5,1.36
0.264,2.743848e-5,1.38
0.268,2.800048e-5,1.4
0.272,2.857210e-5,1.42
0.276,2.913320e-5,1.44
0.28,2.966159e-5,1.46
0.284,3.013443e-5,1.48
0.288,3.052991e-5,1.5
0.292,3.082891e-5,1.52
0.296,3.101661e-5,1.54
0.3,3.108375e-5,1.56
0.304,3.102753e-5,1.58
0.308,3.085191e-5,1.6
0.312,3.056735e-5,1.62
0.316,3.019000e-5,1.64
0.32,2.974046e-5,1.66
0.324,2.924225e-5,1.68
0.328,2.872010e-5,1.7
0.332,2.819835e-5,1.72
0.336,2.769950e-5,1.74
0.34,2.724304e-5,1.76
0.344,2.684474e-5,1.78
0.348,2.651624e-5,1.8
0.352,2.626496e-5,1.82
0.356,2.609431e-5,1.84
0.36,2.600413e-5,1.86
0.364,2.599113e-5,1.88
0.368,2.604947e-5,1.9
0.372,2.617119e-5,1.92
0.376,2.634673e-5,1.94
0.38,2.656528e-5,1.96
0.384,2.681514e-5,1.98
0.388,2.708406e-5,2
0.392,2.735955e-5,2.02
0.396,2.762921e-5,2.04
0.4,2.788113e-5,2.06
0.404,2.810426e-5,2.08
0.408,2.828881e-5,2.1
0.412,2.842665e-5,2.12
0.416,2.851163e-5,2.14
0.42,2.853986e-5,2.16
0.424,2.850980e-5,2.18
0.428,2.842239e-5,2.2
0.432,2.828080e-5,2.22
0.436,2.809033e-5,2.24
0.44,2.785792e-5,2.26
0.444,2.759182e-5,2.28
0.448,2.730101e-5,2.3
0.452,2.699475e-5,2.32
0.456,2.668205e-5,2.34
0.46,2.637129e-5,2.36
0.464,2.606985e-5,2.38
0.468,2.578386e-5,2.4
0.472,2.551808e-5,2.42
0.476,2.527585e-5,2.44
0.48,2.505916e-5,2.46
0.484,2.486875e-5,2.48
0.488,2.470429e-5,2.5
0.492,2.456462e-5,2.52
0.496,2.444794e-5,2.54
0.5,2.435203e-5,2.56
